id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim
2000014150,Movistar,8,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,TODO PERO LA COMPAÑIA EN LA PLATA QUE ME DE UN MEJOR PORQUE ES LO UNICO QUE HAY NO TENGO SEÑAL SE CORTA LA SEÑAL DEL INTERNET LA SEÑAL 4G NO EXISTELAS ANTENAS NO HAY Y NO HAY SEÑAL EN NINGUN LADO
2000008075,Movistar,7,Neutros,La (variedad disponibilidad precio) de los equipos celular,Variedad de equipos (marcas y modelos),Oferta de accesorios,AMBA,Postpago,BAJAR LAS TARIFAS EN CUANTO AL COSTO DEL ABONO MENSUAL
2000004673,Movistar,9,Promotores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,PORQUE NO HE TENIDO PROBLEMA CON EL SERVICIO DE ESTA LINEA EL INTERNET ES BUENO ES DECIR ANTES TENIA 50MBAHORA ME  DAN 3GB CUANDO CAMBIE DE PLAN Y PAGO 500 PESO
2000177223,Claro,8,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,SUR,Mixto,LOS USUARIOS SUFRIMOIS MUCHO PORQUE SE CAE EL SISTEMA MUY SEGUIDO Y SE CAEN LAS LLAMADAS
2000177207,Claro,5,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,SUR,Prepago,EL INTERNET ES UNA PORQUERIA SE CORTA NO ANDA BIEN CUANDO NO TENGO WIFI
2000152979,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Mixto,PORQUE ES LA UNICA EMPRESA QUE HE UTIIZADO Y NO HE TENIDO NINGUN INCOVENIENTE CUANDO HA TENIDO ALGUN INCOVENIENTE SIEMPRE ME HAN INFORMADO DE MANERA CORRECTA COMO SOLUCIONARLO
2000006149,Movistar,5,Detractores,La modalidad de pago de la factura y compra de producto,Facilidad de compra (pago de factura compra de crédito),Email,AMBA,Mixto,QUE TRATE DE HACER UNA COMPRA TELEFONICAMENTE Y FUE UN DESASTRE PORQUE DESPUES DE UN MES Y DESPUES HABERME HECHO EL DEBITO FUE QUE ME INFORMARON QUE HICIERON LA REVERSION DEL PAGO PORQUE NUNCA ME ENTREGARON EL APARATO
2000001578,Movistar,7,Neutros,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,AMBA,Prepago,EL INTERNET SE CUELGA Y NO ME PERMITE CONVERSAR POR WHATAPP
2000009568,Movistar,5,Detractores,La modalidad de pago de la factura y compra de producto,Claridad y simplicidad de la factura,Facilidad para encontrar puntos de venta y pago,AMBA,Mixto,PORQUE HAY BASTANTES FALLAS COMO MEGABAYCUANDO VOY Y RECLAMO Y NO RESPONDEN Y ME DICEN QUE NO HAY A BONOS
2000011999,Movistar,8,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,TIENE QUE MEJORAR LA ATENCION AL CLIENTE ALGUNAS VECES NO SE PUEDE LLEGAR A CONTACTAR CON EL ASESOR
